x,y,z
111.0,156.0,9.411766
111.0,159.0,2.3529396
111.0,177.0,1.9607849
111.0,180.0,8.235294
111.0,183.0,19.999998
111.0,186.0,33.333332
111.0,189.0,41.17647
111.0,192.0,44.509804
111.0,195.0,42.941177
111.0,198.0,35.098038
111.0,201.0,22.941175
111.0,204.0,9.411766
111.0,207.0,2.5490189
111.0,225.0,1.7647057
111.0,228.0,7.843136
111.0,231.0,19.411764
111.0,234.0,32.7451
111.0,237.0,41.568626
111.0,240.0,47.2549
111.0,243.0,48.039215
111.0,246.0,45.098038
111.0,249.0,38.82353
111.0,252.0,28.039215
111.0,255.0,15.294117
111.0,258.0,4.9019623
114.0,123.0,1.1764717
114.0,126.0,6.07843
114.0,129.0,16.666664
114.0,132.0,29.019608
114.0,135.0,40.19608
114.0,138.0,46.27451
114.0,141.0,48.039215
114.0,144.0,47.64706
114.0,147.0,43.72549
114.0,150.0,34.705883
114.0,153.0,22.549019
114.0,156.0,9.411766
114.0,159.0,2.5490189
114.0,177.0,1.7647057
114.0,180.0,7.843136
114.0,183.0,19.607841
114.0,186.0,32.352943
114.0,189.0,41.17647
114.0,192.0,45.098038
114.0,195.0,42.7451
114.0,198.0,35.098038
114.0,201.0,23.137253
114.0,204.0,10.196079
114.0,207.0,2.745098
114.0,225.0,1.7647057
114.0,228.0,7.254902
114.0,231.0,18.823528
114.0,234.0,31.764706
114.0,237.0,41.17647
114.0,240.0,46.27451
114.0,243.0,47.64706
114.0,246.0,45.882355
114.0,249.0,39.60784
114.0,252.0,27.450981
114.0,255.0,14.117645
114.0,258.0,4.9019623
117.0,123.0,1.1764717
117.0,126.0,6.07843
117.0,129.0,16.666664
117.0,132.0,29.80392
117.0,135.0,40.19608
117.0,138.0,46.862743
117.0,141.0,48.235294
117.0,144.0,47.64706
117.0,147.0,42.941177
117.0,150.0,35.098038
117.0,153.0,22.941175
117.0,156.0,9.803921
117.0,159.0,2.5490189
117.0,177.0,1.9607849
117.0,180.0,7.6470566
117.0,183.0,19.215685
117.0,186.0,32.352943
117.0,189.0,40.980392
117.0,192.0,44.705883
117.0,195.0,42.941177
117.0,198.0,35.490196
117.0,201.0,23.137253
117.0,204.0,10.392155
117.0,207.0,2.9411774
117.0,225.0,1.5686264
117.0,228.0,7.0588226
117.0,231.0,18.627449
117.0,234.0,31.764706
117.0,237.0,41.17647
117.0,240.0,46.862743
117.0,243.0,47.64706
117.0,246.0,45.882355
117.0,249.0,39.215687
117.0,252.0,27.450981
117.0,255.0,14.117645
117.0,258.0,4.9019623
120.0,123.0,1.3725471
120.0,126.0,6.07843
120.0,129.0,16.862743
120.0,132.0,29.411764
120.0,135.0,40.19608
120.0,138.0,46.27451
120.0,141.0,47.64706
120.0,144.0,48.039215
120.0,147.0,43.333332
120.0,150.0,34.705883
120.0,153.0,23.137253
120.0,156.0,10.196079
120.0,159.0,2.5490189
120.0,177.0,1.7647057
120.0,180.0,7.6470566
120.0,183.0,18.823528
120.0,186.0,32.7451
120.0,189.0,40.588234
120.0,192.0,44.705883
120.0,195.0,43.333332
120.0,198.0,35.68627
120.0,201.0,22.941175
120.0,204.0,10.784313
120.0,207.0,2.745098
120.0,225.0,1.3725471
